item-db-1  | 2024-03-08T01:03:21.231+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=a873e7ce90d6
item-db-1  | 2024-03-08T01:03:21.231+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten] modules: none
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten] build environment:
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1  | 2024-03-08T01:03:21.232+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1  | 2024-03-08T01:03:21.233+0000 I STORAGE  [initandlisten] 
item-db-1  | 2024-03-08T01:03:21.233+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1  | 2024-03-08T01:03:21.233+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1  | 2024-03-08T01:03:21.233+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1  | 2024-03-08T01:03:21.905+0000 I STORAGE  [initandlisten] WiredTiger message [1709859801:905937][1:0x7f859259fa40], txn-recover: Set global recovery timestamp: 0
item-db-1  | 2024-03-08T01:03:21.947+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-03-08T01:03:21.947+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1  | 2024-03-08T01:03:21.947+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1  | 2024-03-08T01:03:21.947+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-03-08T01:03:21.961+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: b4772119-a22c-4863-8957-106d1c9605a9
item-db-1  | 2024-03-08T01:03:21.977+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1  | 2024-03-08T01:03:21.984+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 60435c68-6b37-4a9f-ae80-c8f6f27fcee3
item-db-1  | 2024-03-08T01:03:21.997+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1  | 2024-03-08T01:03:21.999+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1  | 2024-03-08T01:03:21.999+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1  | 2024-03-08T01:03:21.999+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1  | 2024-03-08T01:03:22.003+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: a170e691-314c-4bc6-8d04-61f6afa879f1
